"","id","dam","sire","Juv_Island","Juv_New_Anemone","Dam_Island","Dam_New_Anemone","Dam_Rank","Sire_Island","Sire_New_Anemone","Sire_Rank"
"1","2025_Perc_2328","2025_Perc_383",NA,"Kimbe","9","Kimbe","228","M",NA,NA,NA
"2","2025_Perc_2148","2025_Perc_1356",NA,"Tuare","211","Tuare","261","F",NA,NA,NA
"3","2025_Perc_2044","2025_Perc_1515","2025_Perc_1519","Kapepa","165","Tuare","442","M","Tuare","442","F"
"4","2025_Perc_2425","2025_Perc_921",NA,"Kimbe","146","Kapepa ","47","SA",NA,NA,NA
"5","2025_Perc_2162","2025_Perc_887",NA,"Tuare","235","Kapepa","167","F",NA,NA,NA
"6","2025_Perc_2230","2025_Perc_1106","2025_Perc_1043","Tuare","44","Tuare","54","M","Tuare","54","F"
"7","2025_Perc_2415","2025_Perc_6",NA,"Kimbe","101","Kimbe","127","F",NA,NA,NA
"8","2025_Perc_2472","2025_Perc_615","2025_Perc_636","Tuare","106","Tuare","259","F","Tuare","259","M"
"9","2025_Perc_1377","2025_Perc_756",NA,"Tuare","141","Kapepa ","37","F",NA,NA,NA
"10","2025_Perc_2262","2025_Perc_659","2025_Perc_721","Tuare","265","Tuare","209","F","Kapepa ","27","F"
"11","2025_Perc_2281","2025_Perc_660",NA,"Tuare","242","Tuare","269","F",NA,NA,NA
"12","2025_Perc_2365","2025_Perc_792","2025_Perc_822","Tuare","13","Kapepa","126","F","Kapepa","126","M"
"13","2025_Perc_2327","2025_Perc_180","2025_Perc_182","Kimbe","16","Kimbe","38","F","Kimbe","38","M"
"14","2025_Perc_2314","2025_Perc_157","2025_Perc_184","Kimbe","9","Kimbe","39","F","Kimbe","39","M"
"15","2025_Perc_857","2025_Perc_1515","2025_Perc_1519","Kapepa","206","Tuare","442","M","Tuare","442","F"
"16","2025_Perc_2342","2025_Perc_223","2025_Perc_227","Kimbe","36","Kimbe","60","F","Kimbe","60","M"
"17","2025_Perc_2180","2025_Perc_1295","2025_Perc_1322","Tuare","201","Tuare","180","F","Tuare","180","M"
"18","2025_Perc_2477","2025_Perc_1162","2025_Perc_1188","Tuare","140","Tuare","93","M","Tuare","93","F"
"19","2025_Perc_2251","2025_Perc_1296","2025_Perc_1308","Tuare","76","Tuare","178","F","Tuare","178","M"
"20","2025_Perc_2441","2025_Perc_1185","2025_Perc_1165","Tuare","102","Tuare","96","F","Tuare","96","M"
"21","2025_Perc_2372","2025_Perc_1013","2025_Perc_1026","Tuare","7","Tuare","34","F","Tuare","34","M"
"22","2025_Perc_2380","2025_Perc_163","2025_Perc_173","Kimbe","67","Kimbe","46","F","Kimbe","46","M"
"23","2025_Perc_2176","2025_Perc_292","2025_Perc_377","Kimbe","244","Kimbe","230","F","Kimbe","230","M"
"24","2025_Perc_2399","2025_Perc_277","2025_Perc_1020","Tuare","17","Tuare","26","F","Tuare","26","M"
"25","2025_Perc_2311","2025_Perc_559","2025_Perc_547","Kimbe","2","Kimbe","158","M","Kimbe","158","F"
"26","2025_Perc_2193","2025_Perc_420","2025_Perc_428","Kimbe","214","Kimbe","257","F","Kimbe","257","M"
"27","2025_Perc_2379","2025_Perc_550","2025_Perc_533","Kimbe","57","Kimbe","169","M","Kimbe","169","F"
"28","2025_Perc_2368","2025_Perc_220",NA,"Kimbe","55","Kimbe","59","F",NA,NA,NA
"29","2025_Perc_2452","2025_Perc_559","2025_Perc_547","Kimbe","149","Kimbe","158","M","Kimbe","158","F"
"30","2025_Perc_2341","2025_Perc_124",NA,"Kimbe","27","Kimbe","16","F",NA,NA,NA
"31","2025_Perc_2433","2025_Perc_369",NA,"Kimbe","112","Kimbe","226","F",NA,NA,NA
"32","2025_Perc_2079","2025_Perc_945","2025_Perc_1604","Tuare Islet","342","Kapepa ","56","F","Kapepa ","56","M"
